n_variable_index;c_name_variable;c_desc_variable;c_signal_ident;c_name_section;c_name_position;c_num_position;n_controller_id;n_variable_data_type_id;n_variable_type_id;n_module_index;n_module_channel;PPI.FilterTime;PPI.mCodeScaleMin;PPI.mCodeScaleMax;PPI.mCodeLowThreshold;PPI.mCodeHighThreshold;PPI.Hysteresis;PPI.MediaLen;PPI.LocalOverrideValue;PPI.MinEU;PPI.MaxEU;SP.SP;SP.TechHi;SP.TechLo;CW.ConfigState;CW.ActiveState;CW.Read;CW.Write;CW.LocalOverrideState;CW.FilterState;CW.InversionState;CW.Linearization;CW.SqrtLinearization;CW.NotQuality;CW.UpdateState;CW.Used_IOAddress;CW.Used_EURange;CW.MessOfChange;CW.Used_Media;CW.Used_Formula;CW;Alarms.HiThreshold;Alarms.HiHiThreshold;Alarms.LoThreshold;Alarms.LoLoThreshold;HILO_CW.Alarms.HiActiveState;HILO_CW.Alarms.HiHiActiveState;HILO_CW.Alarms.LoActiveState;HILO_CW.Alarms.LoLoActiveState;Formula;HILO_CW
11;DR.L1.MD1_PDV_T4;КМД №1. Датчик температуры подшипника двигателя (с торца);TT-05.I;КМД №1;Подшипника двигателя;M1;1.0;8.0;2.0;3.0;4.0;0.5;4.0;20.0;3.5;22.0;0.0;0.0;0.0;0.0;200.0;0.0;200.0;0.0;;;;;;;;;;;;;;;;;6183.0;70.0;75.0;0.0;0.0;;;;;;3.0
12;DR.L1.MD1_PDV_VB1;КМД №1. Датчик вибрации №1;VT-01.I;КМД №1;Подшипника двигателя;M1;1.0;8.0;2.0;3.0;6.0;3.0;4.0;20.0;3.5;22.0;0.0;0.0;16.0;0.0;20.0;16.0;20.0;0.0;;;;;;;;;;;;;;;;;6695.0;8.0;11.0;0.0;0.0;;;;;;3.0
13;DR.L1.MD1_PDV_VB2;КМД №1. Датчик вибрации №2;VT-02.I;КМД №1;Подшипника двигателя;M1;1.0;8.0;2.0;3.0;7.0;3.0;4.0;20.0;3.5;22.0;0.0;0.0;9.0;0.0;20.0;9.0;20.0;0.0;;;;;;;;;;;;;;;;;6695.0;8.0;11.0;0.0;0.0;;;;;;3.0
14;DR.L1.MD1_PDV_VB3;КМД №1. Датчик вибрации №3;VT-03.I;КМД №1;Подшипника двигателя;M1;1.0;8.0;2.0;3.0;8.0;3.0;4.0;20.0;3.5;22.0;0.0;0.0;9.0;0.0;20.0;9.0;20.0;0.0;;;;;;;;;;;;;;;;;6695.0;8.0;11.0;0.0;0.0;;;;;;3.0
15;DR.L1.MD1_PDV_T5;КМД №1. Датчик температуры подшипника двигателя (со стороны вала);TT-06.I;КМД №1;Подшипника двигателя;M1;1.0;8.0;2.0;4.0;1.0;0.5;4.0;20.0;3.5;22.0;0.0;0.0;0.0;0.0;200.0;0.0;200.0;0.0;;;;;;;;;;;;;;;;;6183.0;70.0;75.0;0.0;0.0;;;;;;3.0
16;DR.L1.MD1_MSS_P_diff;КМД №1. Датчик перепада давления на маслянном фильтре;PT-02.I;КМД №1;Маслосистема;M1;1.0;8.0;2.0;4.0;2.0;3.0;4.0;20.0;3.5;22.0;0.0;0.0;0.0;0.0;690.0;0.0;690.0;0.0;;;;;;;;;;;;;;;;;6183.0;241.0;276.0;3.4;0.0;;;;;;7.0
17;DR.L1.MD1_EV_T;КМД №1. Датчик температуры, эксцентриковая втулка;TT-14.I;КМД №1;эксцентриковая втулка;M1;1.0;8.0;2.0;4.0;5.0;0.5;4.0;20.0;3.5;22.0;0.0;0.0;19.0;-40.0;150.0;19.0;150.0;-40.0;;;;;;;;;;;;;;;;;6183.0;0.0;0.0;24.0;21.0;;;;;;12.0
18;DR.L1.MD1_MSS_FED_P_m;КМД №1. Датчик давления подаваемого смазочного масла;PT-03.I;КМД №1;Маслосистема;M1;1.0;8.0;2.0;4.0;6.0;0.5;4.0;20.0;3.5;22.0;0.0;0.0;100.0;0.0;1000.0;100.0;1000.0;0.0;;;;;;;;;;;;;;;;;6183.0;0.0;0.0;138.0;103.0;;;;;;12.0
19;DR.L1.MD1_VL_T;КМД №1. Датчик температуры промежуточного вала;TT-13.I;КМД №1;Промежуточный вал;M1;1.0;8.0;2.0;4.0;7.0;0.5;4.0;20.0;3.5;22.0;0.0;0.0;0.0;-18.0;93.0;0.0;93.0;-18.0;;;;;;;;;;;;;;;;;6183.0;54.0;60.0;0.0;0.0;;;;;;3.0
20;DR.L1.MD1.V_Slp;КМД №1. Датчик контроля скорости проскальзывания ремня;ST-01.I;КМД №1;Дробилка;M1;1.0;8.0;2.0;4.0;8.0;0.5;4.0;20.0;3.5;22.0;0.0;0.0;0.0;0.0;100.0;0.0;100.0;0.0;;;;;;;;;;;;;;;;;6183.0;0.0;0.0;90.0;80.0;;;;;;12.0
21;DR.L1.MD1_MSS_Q;КМД №1. Расходомер масла;FT-02.I;КМД №1;Маслосистема;M1;1.0;8.0;2.0;5.0;1.0;2.0;4.0;20.0;3.5;22.0;0.0;0.0;700.0;0.0;1136.0;700.0;1136.0;0.0;;;;;;;;;;;;;;;;;6183.0;0.0;0.0;606.0;568.0;;;;;;12.0
22;DR.L1.MD1_PDV_T1;КМД №1. Датчик температуры подшипника двигателя (№1);TT-07.I;КМД №1;Подшипника двигателя;M1;1.0;8.0;2.0;5.0;2.0;0.5;4.0;20.0;3.5;22.0;0.0;0.0;0.0;0.0;200.0;0.0;200.0;0.0;;;;;;;;;;;;;;;;;6183.0;130.0;150.0;0.0;0.0;;;;;;3.0
23;DR.L1.MD1_PDV_T2;КМД №1. Датчик температуры подшипника двигателя (№2);TT-08.I;КМД №1;Подшипника двигателя;M1;1.0;8.0;2.0;5.0;3.0;0.5;4.0;20.0;3.5;22.0;0.0;0.0;0.0;0.0;200.0;0.0;200.0;0.0;;;;;;;;;;;;;;;;;6183.0;130.0;150.0;0.0;0.0;;;;;;3.0
24;DR.L1.MD1_PDV_T3;КМД №1. Датчик температуры подшипника двигателя (№3);TT-09.I;КМД №1;Подшипника двигателя;M1;1.0;8.0;2.0;5.0;4.0;0.5;4.0;20.0;3.5;22.0;0.0;0.0;0.0;0.0;200.0;0.0;200.0;0.0;;;;;;;;;;;;;;;;;6183.0;130.0;150.0;0.0;0.0;;;;;;3.0
25;DR.L1.MD1_PDV_VB4;КМД №1. Датчик вибрации №4;VT-04.I;КМД №1;Подшипника двигателя;M1;1.0;8.0;2.0;5.0;5.0;3.0;4.0;20.0;3.5;22.0;0.0;0.0;0.0;0.0;20.0;0.0;20.0;0.0;;;;;;;;;;;;;;;;;6695.0;8.0;11.0;0.0;0.0;;;;;;3.0
26;DR.L1.SD1.I_Tran;КСД №1. Преобразователь тока двигателя;14M1.C.I;КСД №1;ПИД;11PID;1.0;8.0;2.0;5.0;6.0;0.5;4.0;20.0;3.5;22.0;0.0;0.0;0.0;0.0;100.0;0.0;100.0;0.0;;;;;;;;;;;;;;;;;6183.0;53.2;79.80001;10.0;7.6;;;;;;15.0
27;DR.L1.SD1_PDV_T2;КСД №1. Датчик температуры подшипника двигателя;TT-16.I;КСД №1;Подшипники двигателя;14M1;1.0;8.0;2.0;5.0;7.0;0.5;4.0;20.0;3.5;22.0;0.0;0.0;90.0;0.0;200.0;90.0;200.0;0.0;;;;;;;;;;;;;;;;;6183.0;70.0;75.0;0.0;0.0;;;;;;3.0
28;DR.L1.SD1_ODV_T1;КСД №1. Датчик температуры обмоток двигателя №1;TT-17.I;КСД №1;Обмотка двигателя;14M1;1.0;8.0;2.0;5.0;8.0;0.5;4.0;20.0;3.5;22.0;0.0;0.0;151.0;0.0;200.0;151.0;200.0;0.0;;;;;;;;;;;;;;;;;6183.0;130.0;150.0;0.0;0.0;;;;;;3.0
29;DR.L1.SD1_ODV_T2;КСД №1. Датчик температуры обмоток двигателя №2;TT-18.I;КСД №1;Обмотка двигателя;14M1;1.0;8.0;2.0;6.0;1.0;0.5;4.0;20.0;3.5;22.0;0.0;0.0;0.0;0.0;200.0;0.0;200.0;0.0;;;;;;;;;;;;;;;;;6183.0;130.0;150.0;0.0;0.0;;;;;;3.0
30;DR.L1.SD1_ODV_T3;КСД №1. Датчик температуры обмоток двигателя №3;TT-19.I;КСД №1;Обмотка двигателя;14M1;1.0;8.0;2.0;6.0;2.0;0.5;4.0;20.0;3.5;22.0;0.0;0.0;0.0;0.0;200.0;0.0;200.0;0.0;;;;;;;;;;;;;;;;;6183.0;130.0;150.0;0.0;0.0;;;;;;3.0
31;DR.L1.SD1_PDV_T1;КСД №1. Датчик температуры подшипника двигателя;TT-15.I;КСД №1;Подшипники двигателя;14M1;1.0;8.0;2.0;6.0;3.0;0.5;4.0;20.0;3.5;22.0;0.0;0.0;0.0;0.0;200.0;0.0;200.0;0.0;;;;;;;;;;;;;;;;;6183.0;70.0;75.0;0.0;0.0;;;;;;3.0
32;DR.L1.K3_VR_VFD_I;Конвейер ЛК-3. ЧП. Ток;11M1.C.I;Конвейер №3;ПИД;1PID;1.0;8.0;2.0;6.0;5.0;0.5;4.0;22.0;3.5;22.0;0.0;0.0;0.0;0.0;450.0;0.0;450.0;0.0;;;;;;;;;;;;;;;;;6183.0;450.0;0.0;0.0;0.0;;;;;;1.0
33;DR.L1.K3_VR_VFD_V;Конвейер ЛК-3. ЧП. Скорость;11M1-SC.S.I;Конвейер №3;ПИД;11PID;1.0;8.0;2.0;6.0;6.0;0.5;4.0;20.0;3.5;22.0;0.0;0.0;0.0;0.0;1040.0;0.0;1040.0;0.0;;;;;;;;;;;;;;;;;6183.0;0.0;0.0;0.0;0.0;;;;;;0.0
34;DR.L1.PIT3_VR_VFD_I;Пластинчатый питатель ПП-3. ЧП. Ток;1M1.C.I;Пластинчатый питатель №3;ПИД;1PID;1.0;8.0;2.0;6.0;7.0;0.5;4.0;22.0;3.5;22.0;0.0;0.0;0.0;0.0;79.09;0.0;79.09;0.0;;;;;;;;;;;;;;;;;6183.0;49.2;73.80001;14.06;7.03;;;;;;15.0
35;DR.L1.MD1_MSS.TANK_T;КМД №1. Датчик температуры бака смазки;TT-12.I;КМД №1;Маслосистема;M1;1.0;8.0;2.0;7.0;5.0;0.5;4.0;20.0;3.5;22.0;0.0;0.0;16.0;-18.0;93.0;16.0;93.0;-18.0;;;;;;;;;;;;;;;;;6183.0;38.0;0.0;32.0;15.0;;;;;;13.0
36;DR.L1.MD1_MSS_T_Rtn;КМД №1. Датчик температуры возврата масла;TT-11.I;КМД №1;Маслосистема;M1;1.0;8.0;2.0;7.0;6.0;0.5;4.0;20.0;3.5;22.0;0.0;0.0;58.0;-18.0;93.0;58.0;93.0;-18.0;;;;;;;;;;;;;;;;;6183.0;57.0;60.0;18.0;15.0;;;;;;15.0
37;DR.L1.MD1_MSS_FED_T;КМД №1. Датчик температуры подаваемого масла;TT-10.I;КМД №1;Маслосистема;M1;1.0;8.0;2.0;7.0;7.0;0.5;4.0;20.0;3.5;22.0;0.0;0.0;0.0;-18.0;93.0;0.0;93.0;-18.0;;;;;;;;;;;;;;;;;6183.0;49.0;52.0;46.0;43.0;;;;;;15.0
38;DR.L1.K6.WG;Конвейер ЛК-6. Разгрузочный конвейер. Весы;FT-03.I;Конвейер №6;Весы;24PID;1.0;8.0;2.0;1.0;2.0;0.5;4.0;20.0;3.5;22.0;0.0;0.0;0.0;0.0;2000.0;0.0;2000.0;0.0;;;;;;;;;;;;;;;;;6183.0;0.0;0.0;0.0;0.0;;;;;;0.0
39;DR.L1.GR1.I;Грохот №1. Измерение тока;12M1.C.I;Грохот №1;Грохот;12M1;1.0;8.0;2.0;8.0;5.0;0.5;4.0;20.0;3.5;22.0;0.0;0.0;0.0;0.0;60.0;0.0;60.0;0.0;;;;;;;;;;;;;;;;;6183.0;28.0;36.6;0.0;0.0;;;;;;3.0
40;DR.L1.K3A.Clog;Конвейер ЛК-3А. Дробилка КМД №1. Датчик подпора;LT-04.I;Конвейер №3а;Датчик подпора;24M1;1.0;8.0;2.0;8.0;6.0;3.0;4.0;20.0;3.5;22.0;0.0;0.0;0.0;0.0;100.0;0.0;100.0;0.0;;;;;;;;;;;;;;;;;6695.0;45.0;50.0;0.0;0.0;;;;;;3.0
41;Tag_41;Измерение тока высоковольтных ячеек;CR-01.I;ПСУ;Ячейка;ПСУ;1.0;8.0;2.0;1.0;3.0;0.5;4.0;20.0;3.5;22.0;0.0;0.0;0.0;0.0;960.0;0.0;960.0;0.0;;;;;;;;;;;;;;;;;6183.0;400.0;450.0;0.0;0.0;;;;;;3.0
42;DR.L1.K3.WG;Конвейер ЛК-3. Весы конвейерные;FIC-01.I;Конвейер №3;Весы;1PID;1.0;8.0;2.0;8.0;8.0;0.5;4.0;20.0;3.5;22.0;0.0;0.0;0.0;0.0;900.0;0.0;900.0;0.0;;;;;;;;;;;;;;;;;6183.0;70.0;95.0;30.0;5.0;;;;;;15.0
43;DR.L1.PIT3_VR_VFD_V_zad;Пластинчатый питатель ПП-3. ЧП. Уставка скорости ;1M1-SC.SSP.O;Пластинчатый питатель №3;ПИД;1PID;1.0;8.0;6.0;10.0;1.0;0.5;4.0;20.0;3.5;22.0;0.0;0.0;0.0;0.0;300.0;0.0;300.0;0.0;;;;;;;;;;;;;;;;;6187.0;280.0;0.0;100.0;0.0;;;;;;5.0
44;DR.L1.K3_VR_VFD_V_zad;Конвейер ЛК-3. ЧП. Уставка скорости;11M1-SC.SSP.O;Конвейер №3;ПИД;11PID;1.0;8.0;6.0;10.0;2.0;0.5;4.0;20.0;3.5;22.0;0.0;0.0;0.0;0.0;1040.0;0.0;1040.0;0.0;;;;;;;;;;;;;;;;;6187.0;0.0;0.0;0.0;0.0;;;;;;0.0
45;DR.L1.K3A_VR_VFD_V_zad;Конвейер ЛК-3А. ЧП. Уставка скорости;24M1-SC.SSP.O;Конвейер №3а;ПИД;24PID;1.0;8.0;6.0;10.0;3.0;0.5;4.0;20.0;3.5;22.0;0.0;0.0;0.0;0.0;1470.0;0.0;1470.0;0.0;;;;;;;;;;;;;;;;;6187.0;0.0;0.0;0.0;0.0;;;;;;0.0
46;DR.L1.SD1_PDV_VB1;КСД №1. Датчик вибрации №1;VT-05.I;КСД №1;Подшипники двигателя;14M1;1.0;8.0;2.0;9.0;5.0;3.0;4.0;20.0;3.5;22.0;0.0;0.0;0.0;0.0;20.0;0.0;20.0;0.0;;;;;;;;;;;;;;;;;6695.0;0.0;0.0;0.0;0.0;;;;;;0.0
47;DR.L1.SD1_PDV_VB2;КСД №1. Датчик вибрации №2;VT-06.I;КСД №1;Подшипники двигателя;14M1;1.0;8.0;2.0;9.0;6.0;3.0;4.0;20.0;3.5;22.0;0.0;0.0;0.0;0.0;20.0;0.0;20.0;0.0;;;;;;;;;;;;;;;;;6695.0;0.0;0.0;0.0;0.0;;;;;;0.0
48;DR.L1.SD1_PDV_VB3;КСД №1. Датчик вибрации №3;VT-07.I;КСД №1;Подшипники двигателя;14M1;1.0;8.0;2.0;9.0;7.0;3.0;4.0;20.0;3.5;22.0;0.0;0.0;0.0;0.0;20.0;0.0;20.0;0.0;;;;;;;;;;;;;;;;;6695.0;0.0;0.0;0.0;0.0;;;;;;0.0
49;Tag_49;Конвейер ЛК-3. Датчик забивки течки;LT-05.I;Конвейер №3;Датчик забивки течки;11M1;1.0;8.0;2.0;1.0;6.0;0.5;4.0;20.0;3.5;22.0;0.0;0.0;0.0;0.0;100.0;0.0;100.0;0.0;;;;;;;;;;;;;;;;;6183.0;45.0;50.0;0.0;0.0;;;;;;3.0
50;DR.L1.K3_MS_FB_Rotating;Конвейер ЛК-3. Магнитный сепаратор. Управление вращением;GS-01.I;Конвейер №3;Магнитный сепаратор;10Q;1.0;1.0;2.0;11.0;1.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;;;;;;;;;;;;;;;;;2087.0;0.0;0.0;0.0;0.0;;;;;;0.0
51;DR.L1.K3_MS_EmergStop;Конвейер ЛК-3. Магнитный сепаратор. Кнопка аварийного останова;OA-01.I;Конвейер №3;Магнитный сепаратор;10Q;1.0;1.0;2.0;11.0;2.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;;;;;;;;;;;;;;;;;2151.0;0.0;0.0;0.0;0.0;;;;;;0.0
52;DR.L1.K3_MS_N;Конвейер ЛК-3. Магнитный сепаратор. Датчик мощности;JS-01.I;Конвейер №3;Магнитный сепаратор;10Q;1.0;1.0;2.0;11.0;3.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;;;;;;;;;;;;;;;;;2087.0;0.0;0.0;0.0;0.0;;;;;;0.0
53;DR.L1.K3_MS_ST_Started;Конвейер ЛК-3. Магнитный сепаратор. Сепаратор запущен;10Q1.R.I;Конвейер №3;Магнитный сепаратор;10Q;1.0;1.0;2.0;11.0;5.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;;;;;;;;;;;;;;;;;2087.0;0.0;0.0;0.0;0.0;;;;;;0.0
54;DR.L1.PIT3.CB_Fault;Пластинчатый питатель ПП-3. Отказ автоматического выключателя;1M1.SF.I;Пластинчатый питатель №3;Пластинчатый питатель;1M1;1.0;1.0;2.0;11.0;6.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;;;;;;;;;;;;;;;;;2087.0;0.0;0.0;0.0;0.0;;;;;;0.0
55;DR.L1.PIT3_VR_VFD_ST_Started;Пластинчатый питатель ПП-3. ЧП. Работа привода ;1M1.R.I;Пластинчатый питатель №3;Пластинчатый питатель;1M1;1.0;1.0;2.0;11.0;8.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;;;;;;;;;;;;;;;;;2087.0;0.0;0.0;0.0;0.0;;;;;;0.0
56;DR.L1.PIT3_VR_VFD_VFD_Failure;Пластинчатый питатель ПП-3. ЧП. Отказ привода;1M1.DF.I;Пластинчатый питатель №3;Пластинчатый питатель;1M1;1.0;1.0;2.0;11.0;9.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;;;;;;;;;;;;;;;;;2087.0;0.0;0.0;0.0;0.0;;;;;;0.0
57;DR.L1.K3.EmergStop;Конвейер ЛК-3. Кнопка аварийного останова, провод аварийного останова;OA-02.I;Конвейер №3;Конвейер;11M1;1.0;1.0;2.0;11.0;11.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;;;;;;;;;;;;;;;;;2151.0;0.0;0.0;0.0;0.0;;;;;;0.0
58;DR.L1.K3.FB_Rotating;Конвейер ЛК-3. Управление вращением;GS-02.I;Конвейер №3;Конвейер;11M1;1.0;1.0;2.0;11.0;12.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;;;;;;;;;;;;;;;;;2087.0;0.0;0.0;0.0;0.0;;;;;;0.0
59;DR.L1.K3.Ngb;Конвейер ЛК-3. Датчик негабарита;LS-01.I;Конвейер №3;Конвейер;11M1;1.0;1.0;2.0;11.0;13.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;;;;;;;;;;;;;;;;;2087.0;0.0;0.0;0.0;0.0;;;;;;0.0
60;DR.L1.K3.FB_me;Конвейер ЛК-3. Детектор металла;OS-01.I;Конвейер №3;Конвейер;11M1;1.0;1.0;2.0;11.0;14.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;;;;;;;;;;;;;;;;;2087.0;0.0;0.0;0.0;0.0;;;;;;0.0
61;DR.L1.K3.CB_Fault;Конвейер ЛК-3. Двигатель конвейера №4. Отказ автоматического выключателя;11M1.SF.I;Конвейер №3;Конвейер;11M1;1.0;1.0;2.0;11.0;16.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;;;;;;;;;;;;;;;;;2087.0;0.0;0.0;0.0;0.0;;;;;;0.0
62;Tag_62;Конвейер ЛК-3. Дистанционный пуск ковейера ПП-3, ЛK-4;HS-14.I;Конвейер №3;Конвейер;11M1;1.0;1.0;2.0;11.0;17.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;;;;;;;;;;;;;;;;;2087.0;0.0;0.0;0.0;0.0;;;;;;0.0
63;DR.L1.K3_VR_VFD_ST_Started;Конвейер ЛК-3. ЧП. Работа привода;11M1.R.I;Конвейер №3;Конвейер;11M1;1.0;1.0;2.0;11.0;18.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;;;;;;;;;;;;;;;;;2087.0;0.0;0.0;0.0;0.0;;;;;;0.0
64;DR.L1.K3_VR_VFD_Failure;Конвейер ЛК-3. ЧП. Отказ привода;11M1.DF.I;Конвейер №3;Конвейер;11M1;1.0;1.0;2.0;11.0;19.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;;;;;;;;;;;;;;;;;2087.0;0.0;0.0;0.0;0.0;;;;;;0.0
65;DR.L1.K3.Fuse;Конвейер ЛК-3. Срабатывание защит на ЛК-3;OS-02.I;Конвейер №3;Конвейер;11M1;1.0;1.0;2.0;11.0;20.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;;;;;;;;;;;;;;;;;2087.0;0.0;0.0;0.0;0.0;;;;;;0.0
66;DR.L1.GR1_PMU_EmergStop;Грохот №1. Кнопка аварийного останова;OA-03.I;Грохот №1;ПМУ;12M1;1.0;1.0;2.0;11.0;21.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;;;;;;;;;;;;;;;;;2151.0;0.0;0.0;0.0;0.0;;;;;;0.0
67;DR.L1.GR1.CB_Fault;Грохот №1. Отказ автоматического выключателя;12M1.SF.I;Грохот №1;Грохот;12M1;1.0;1.0;2.0;11.0;22.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;;;;;;;;;;;;;;;;;2087.0;0.0;0.0;0.0;0.0;;;;;;0.0
68;DR.L1.GR1.ST_Started;Грохот №1. Работа грохота;12M1.R.I;Грохот №1;Грохот;12M1;1.0;1.0;2.0;11.0;24.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;;;;;;;;;;;;;;;;;2087.0;0.0;0.0;0.0;0.0;;;;;;0.0
