id;n_variable_index;c_name_variable;c_desc_variable;c_signal_ident;c_name_section;c_name_position;c_num_position;n_controller_id;n_variable_data_type_id;n_variable_type_id;n_module_index;n_module_channel;PPI.FilterTime;PPI.mCodeScaleMin;PPI.mCodeScaleMax;PPI.mCodeLowThreshold;PPI.mCodeHighThreshold;PPI.Hysteresis;PPI.MediaLen;PPI.LocalOverrideValue;PPI.MinEU;PPI.MaxEU;SP.TechHi;SP.TechLo;CW.ConfigState;CW.ActiveState;CW.Read;CW.Write;CW.LocalOverrideState;CW.FilterState;CW.InversionState;CW.Linearization;CW.SqrtLinearization;CW.NotQuality;CW.UpdateState;CW.Used_IOAddress;CW.Used_EURange;CW.MessOfChange;CW.Used_Media;CW.Used_Formula;CW;Alarms.HiThreshold;Alarms.HiHiThreshold;Alarms.LoThreshold;Alarms.LoLoThreshold;HILO_CW.Alarms.HiActiveState;HILO_CW.Alarms.HiHiActiveState;HILO_CW.Alarms.LoActiveState;HILO_CW.Alarms.LoLoActiveState;Formula;HILO_CW
50;50;DR.L1.K3_MS_FB_Rotating;Магнитный сепаратор: Управление вращением;GS-01.I;Каскад 1;Магнитный сепаратор;10Q;2.0;1.0;2.0;11.0;1.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;;;;;;;;;;;;;;;;;2087.0;0.0;0.0;0.0;0.0;;;;;;0.0
51;51;DR.L1.K3_MS_EmergStop;Магнитный сепаратор: кнопка аварийного останова;OA-01.I;Каскад 1;Магнитный сепаратор;10Q;2.0;1.0;2.0;11.0;2.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;;;;;;;;;;;;;;;;;2087.0;0.0;0.0;0.0;0.0;;;;;;0.0
52;52;DR.L1.K3_MS_N;Магнитный сепаратор: датчик мощности;JS-01.I;Каскад 1;Магнитный сепаратор;10Q;2.0;1.0;2.0;11.0;3.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;;;;;;;;;;;;;;;;;2087.0;0.0;0.0;0.0;0.0;;;;;;0.0
53;53;DR.L1.K3_MS_ST_Started;Магнитный сепаратор двигатель: сепаратор запущен;10Q1.R.I;Каскад 1;Магнитный сепаратор;10Q;2.0;1.0;2.0;11.0;5.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;;;;;;;;;;;;;;;;;2087.0;0.0;0.0;0.0;0.0;;;;;;0.0
54;54;DR.L1.PIT3.CB_Fault;Пластинчатый питатель № 3: отказ автоматического выключателя;1M1.SF.I;Каскад 1;Пластинчатый питатель;1M1;2.0;1.0;2.0;11.0;6.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;;;;;;;;;;;;;;;;;2087.0;0.0;0.0;0.0;0.0;;;;;;0.0
55;55;DR.L1.PIT3_VR_VFD_ST_Started;ЧП пластинчатого питателя 3 (ПП-3): Работа привода ;1M1.R.I;Каскад 1;Пластинчатый питатель;1M1;2.0;1.0;2.0;11.0;8.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;;;;;;;;;;;;;;;;;2087.0;0.0;0.0;0.0;0.0;;;;;;0.0
56;56;DR.L1.PIT3_VR_VFD_VFD_Failure;ЧП пластинчатого питателя  3 (ПП-3): отказ привода;1M1.DF.I;Каскад 1;Пластинчатый питатель;1M1;2.0;1.0;2.0;11.0;9.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;;;;;;;;;;;;;;;;;2087.0;0.0;0.0;0.0;0.0;;;;;;0.0
57;57;DR.L1.K3.EmergStop;Конвейер № 3: кнопка аварийного останова, провод аварийного останова;OA-02.I;Каскад 1;Конвейер;11M1;2.0;1.0;2.0;11.0;11.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;;;;;;;;;;;;;;;;;2087.0;0.0;0.0;0.0;0.0;;;;;;0.0
58;58;DR.L1.K3.FB_Rotating;Конвейер № 3: управление вращением;GS-02.I;Каскад 1;Конвейер;11M1;2.0;1.0;2.0;11.0;12.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;;;;;;;;;;;;;;;;;2087.0;0.0;0.0;0.0;0.0;;;;;;0.0
59;59;DR.L1.K3.Ngb;Конвейер № 3: датчик негабарита;LS-01.I;Каскад 1;Конвейер;11M1;2.0;1.0;2.0;11.0;13.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;;;;;;;;;;;;;;;;;2087.0;0.0;0.0;0.0;0.0;;;;;;0.0
60;60;DR.L1.K3.FB_me;Конвейер № 3: детектор металла;OS-01.I;Каскад 1;Конвейер;10Q;2.0;1.0;2.0;11.0;14.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;;;;;;;;;;;;;;;;;2087.0;0.0;0.0;0.0;0.0;;;;;;0.0
61;61;DR.L1.K3.CB_Fault;Двигатель конвейера № 3: отказ автоматического выключателя;11M1.SF.I;Каскад 1;Конвейер;11M1;2.0;1.0;2.0;11.0;16.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;;;;;;;;;;;;;;;;;2087.0;0.0;0.0;0.0;0.0;;;;;;0.0
62;62;62;Дистанционный пуск ковейера ПП-3, ЛK-3;HS-14.I;Каскад 1;Конвейер;11M1;2.0;1.0;2.0;11.0;17.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;;;;;;;;;;;;;;;;;2087.0;0.0;0.0;0.0;0.0;;;;;;0.0
63;63;DR.L1.K3_VR_VFD_ST_Started;ЧП конвейера № 3 (ЛК-3): работа привода;11M1.R.I;Каскад 1;Конвейер;11M1;2.0;1.0;2.0;11.0;18.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;;;;;;;;;;;;;;;;;2087.0;0.0;0.0;0.0;0.0;;;;;;0.0
64;64;DR.L1.K3_VR_VFD_Failure;ЧП конвейера № 3 (ЛК-3): отказ привода;11M1.DF.I;Каскад 1;Конвейер;11M1;2.0;1.0;2.0;11.0;19.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;;;;;;;;;;;;;;;;;2087.0;0.0;0.0;0.0;0.0;;;;;;0.0
65;65;DR.L1.K3.Fuse;Срабатывание защит на ЛК-3;OS-02.I;Каскад 1;Конвейер;11M1;2.0;1.0;2.0;11.0;20.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;;;;;;;;;;;;;;;;;2087.0;0.0;0.0;0.0;0.0;;;;;;0.0
66;66;DR.L1.GR1_PMU_EmergStop;Грохот RF1836-1: кнопка аварийного останова;OA-03.I;Каскад 1;ПМУ;12M1;2.0;1.0;2.0;11.0;21.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;;;;;;;;;;;;;;;;;2087.0;0.0;0.0;0.0;0.0;;;;;;0.0
67;67;DR.L1.GR1.CB_Fault;Двигатель грохота RF1836-1: отказ автоматического выключателя;12M1.SF.I;Каскад 1;Грохот;12M1;2.0;1.0;2.0;11.0;22.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;;;;;;;;;;;;;;;;;2087.0;0.0;0.0;0.0;0.0;;;;;;0.0
68;68;DR.L1.GR1.ST_Started;Двигатель грохота RF1836-1: работа грохота;12M1.R.I;Каскад 1;Грохот;12M1;2.0;1.0;2.0;11.0;24.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;;;;;;;;;;;;;;;;;2087.0;0.0;0.0;0.0;0.0;;;;;;0.0
69;69;DR.L1.GR1.N_coef;Двигатель грохота RF1836-1: контакт коэффициента мощности;12M1.PC.I;Каскад 1;Грохот;12M1;2.0;1.0;2.0;11.0;25.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;;;;;;;;;;;;;;;;;2087.0;0.0;0.0;0.0;0.0;;;;;;0.0
70;70;70;Грохот EF2461: система включена;22M1.R.I;Каскад 1;Грохот;22M1;2.0;1.0;2.0;11.0;26.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;;;;;;;;;;;;;;;;;2087.0;0.0;0.0;0.0;0.0;;;;;;0.0
